,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
43,Guerra y paz,Serguéi Bondarchuk,la Unión Soviética,1968,Cine bélico,484.0,"Ludmila Savélyeva, Viacheslav Tíjonov, Serguéi Bondarchuk",Ruso,GoskinóMosfilm,"Serguéi Bondarchuk, Vasili Solovyov, León Tolstói",Vyacheslav Ovchínnikov,"Anatoly Petritsky, Iolanda Chen, Aleksandr Shelenkov",,Mosfilm,8291712.0,58000000.0,1,serguei bondarchuk,la union,cine belico,ludmila savelyeva,ruso,goskinomosfilm,serguei bondarchuk,vyacheslav ovchinnikov,anatoly petritsky,,mosfilm,10.241825396861156,-0.13493529451587857,-0.1196382371463035
44,Los muchachos de la calle Pal,Zoltán Fábri,Hungría,1968,Drama,110.0,Mari Törőcsik,Húngaro,Endre Bohem,"Endre Bohem, Zoltán Fábri, Ferenc Molnár",Emil Petrovics,György Illés,Judit Schäffer,"Groskopf, MAFILM Stúdio 1",,,0,zoltan fabri,hungria,drama,mari torocsik,hungaro,endre bohem,endre bohem,emil petrovics,gyorgy illes,judit schaffer,groskopf,-0.2334742651359222,,
45,"¡Al fuego, bomberos!",Miloš Forman,Checoslovaquia,1968,Comedia,71.0,"Josef Šebánek, Stanislav Ditrich, Milada Ježková",checo,Rudolf Hájek,Miloš Forman Ivan Passer Jaroslav Papoušek,Karel Mareš,Miroslav Ondříček,,Barrandov Studios,,,0,milos forman,checoslovaquia,comedia,josef sebanek,checo,rudolf hajek,milos forman,karel mares,miroslav ondricek,,barrandov studios,-1.3258183475366871,,
46,La ragazza con la pistola,Mario Monicelli,Italia,1968,Comedia,100.0,"Monica Vitti, Stanley Baker",italiano,Gianni Hecht Lucari,"Luigi Magni, Rodolfo Sonego",Peppino De Luca,Carlo Di Palma,Maurizio Chiari,,,,0,mario monicelli,italia,comedia,monica vitti,italiano,gianni hecht,luigi magni,peppino de,carlo di,maurizio chiari,,-0.5135624913925285,,
47,Baisers volés,François Truffaut,Francia,1968,"Drama, comedia",90.0,"Jean-Pierre Léaud, Claude Jade, Daniel Ceccaldi, Claire Duhamel, Delphine Seyrig, Michael Lonsdale",Francés,Marcel Berbert,"François Truffaut, Claude de Givray, Bernard Revon",Antoine Duhamel,Denys Clerval,,Les Films du Carrosse,,,0,francois truffaut,francia,drama,jean-pierre leaud,frances,marcel berbert,francois truffaut,antoine duhamel,denys clerval,,les films,-0.793650717649135,,
48,Z,Costa-Gavras,"Argelia, Francia",1969,Thriller político,127.0,Yves Montand Jean-Louis Trintignant Irene Papas Jacques Perrin,Francés,"Jacques Perrin, Ahmed Rachedi",Jorge Semprún Costa-Gavras,Mikis Theodorakis,Raoul Coutard,,Office National pour le Commerce et l'Industrie Cinématographique Reggane Films Valoria Films,,17300000.0,1,costa-gavras,argelia,thriller politico,yves montand,frances,jacques perrin,jorge semprun,mikis theodorakis,raoul coutard,,office national,0.24267571950030864,,-0.11963956955894996
49,La batalla del río Neretva,Veljko Bulajić,Yugoslavia,1969,Bélico,102.0,"Silva Koscina, Milena Dravić Yul Brynner Franco Nero Curd Jürgens Sergei Bondarchuk Hardy Krüger Orson Welles Anthony Dawson Velimir Živojinović Boris Dvornik Ljubiša Samardžić Pavle Vuisić Lojze Rozman Stole Aranđelović Nikola Angelovski",Bosnio,Steve Previn,"Ugo Pirro, Рako Đurović, Stevan Bulajić, Veljko Bulajić, Adaptación al inglés: Alfred Hayes",Bernard Herrmann,Tomislav Pinter,,Commonwealth United,,,0,veljko bulajic,yugoslavia,belico,silva koscina,bosnio,steve previn,ugo pirro,bernard herrmann,tomislav pinter,,commonwealth united,-0.4575448461412073,,
50,Mi noche con Maud,Eric Rohmer,Francia,1969,Drama,110.0,"Jean-Louis Trintignant, Françoise Fabian, Marie-Christine Barrault, Antoine Vitez, Léonide Kogan, Guy Léger, Anne Dubot, Marie Becker, Marie-Claude Rauzier",Francés,"Pierre Cottrell, Barbet Schroeder",Éric Rohmer,Jacques Maumont,Néstor Almendros,,FFD Les Films de la Pléiade Les Films des deux mondes Les Films du Carrosse Les Films du Losange Les Productions de la Guéville Renn Productions Simar Films Société Française de Production Two World Entertainment,,,0,eric rohmer,francia,drama,jean-louis trintignant,frances,pierre cottrell,eric rohmer,jacques maumont,nestor almendros,,ffd les,-0.2334742651359222,,
51,Investigación sobre un ciudadano libre de toda sospecha,Elio Petri,Italia,1970,Drama,115.0,"Gian Maria VolontéFlorinda Bolkan, Gianni Santuccio, Salvo Randone, Orazio Orlando, Arturo Dominici, Aldo Rendine, Sergio Tramonti, Vittorio Duse, Massimo Foschi, Fulvio Grimaldi, Aleka Paizi, Filippo De Gara, Gianfranco Barra, Vincenzo Falanga, Ettore Geri, Aristide Caporale",Italiano,Marina Cicogna,"Elio Petri, Ugo Pirro",Ennio Morricone,Luigi Kuveiller,,Vera Films,,,1,elio petri,italia,drama,gian maria,italiano,marina cicogna,elio petri,ennio morricone,luigi kuveiller,,vera films,-0.093430152007619,,
52,Erste Liebe,Maximilian Schell,Suiza,1970,Drama,90.0,"Maximilian Schell, Dominique Sanda, John Moulder-Brown",Inglés,"Barry Levinson, Maximilian Schell",Maximilian Schell,Mark London,Sven Nykvist,,"Alfa Film, Franz Seitz Filmproduktion",,,0,maximilian schell,suiza,drama,maximilian schell,ingles,barry levinson,maximilian schell,mark london,sven nykvist,,alfa film,-0.793650717649135,,
53,Tristana,Luis Buñuel,España,1970,Drama,99.0,"Catherine Deneuve, Fernando Rey, Franco Nero, Lola Gaos",Español,"Luis Buñuel, Robert Dorfmann","Luis Buñuel, Julio Alejandro",Frédéric Chopin,José F. Aguayo,Rosa García,"Época Films, Talía Films, Selenia Cinematográfica, Les Films Corona",,12686.0,0,luis bunuel,espana,drama,catherine deneuve,espanol,luis bunuel,luis bunuel,frederic chopin,jose f.,rosa garcia,epoca films,-0.5415713140181893,,-0.11964013550086143
54,El jardín de los Finzi-Contini,Vittorio de Sica,Italia,1971,Drama,94.0,Lino Capolicchio​  Dominique Sanda  Helmut Berger  Fabio Testi,Italiano,Arthur Brauner  Arthur Cohn  Gianni Hecht Lucari,Vittorio Bonicelli  Ugo Pirro,Bill Conti  Manuel de Sica,Ennio Guarnieri,Giancarlo Bartolini Salimbeni,,,,1,vittorio de,italia,drama,lino capolicchio ,italiano,arthur brauner,vittorio bonicelli,bill conti,ennio guarnieri,giancarlo bartolini,,-0.6816154271464924,,
55,Dodesukaden,Akira Kurosawa,Japón,1971,Drama,140.0,"Yoshitaka Zushi, Kin Sugai, Kazuo KatôJunzaburo Ban, Kiyoko Tange",japonés,"Kon Ichikawa, Keisuke Kinoshita, Masaki Kobayashi, Akira Kurosawa, Yoichi Matsue","Akira Kurosawa, Hideo Oguni, Shinobu Hashimoto",Tôru Takemitsu,"Yasumichi Fukuzawa, Takao Saitô",Miyuki Suzuki,"Yonki-no-Kai Productions, Toho Company",,,0,akira kurosawa,japon,drama,yoshitaka zushi,japones,kon ichikawa,akira kurosawa,toru takemitsu,yasumichi fukuzawa,miyuki suzuki,yonki-no-kai productions,0.606790413633897,,
56,Los emigrantes,Jan Troell,Suecia,1971,Drama,151.0,"Max von Sydow, Liv Ullmann, Eddie Axberg, Monica Zetterlund, Sven-Olof Bern, Aina Alfredsson, Allan Edwall, Pierre Lindstedt.",Sueco,Bengt Forslund,"Bengt Forslund, Jan Troell",Erik Nordgren,Jan Troell,Ulla-Britt Söderlund,"Svensk Filmindustri, Warner Bros.",,,0,jan troell,suecia,drama,max von,sueco,bengt forslund,bengt forslund,erik nordgren,jan troell,ulla-britt soderlund,svensk filmindustri,0.9148874625161639,,
57,El discreto encanto de la burguesía,Luis Buñuel,Francia,1972,Comedia,102.0,"Fernando Rey, Jean-Pierre Cassel, Paul Frankeur, Delphine Seyrig, Stéphane Audran, Bulle Ogier",Francés,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière",,Edmond Richard,Jacqueline Guyot,"Greenwich Film Productions, Dean Film, Jet Films S.A",,,1,luis bunuel,francia,comedia,fernando rey,frances,serge silberman,luis bunuel,,edmond richard,jacqueline guyot,greenwich film,-0.4575448461412073,,
58,Los amaneceres son aquí más apacibles,Stanislav Rostotski,la Unión Soviética,1972,Drama,188.0,"Andréi Martynov, Elena Drapeko, Ekaterina Markova, Olga Ostroumova, Irina Shevchuk, Irina Dolganova, Liudmila Zaitseva",ruso,,"Stanislav Rostotski, Boris Vasiliev",Kirill Molchanov,Vyacheslav Shumskiy,,Estudios de Cine Gorki,,,0,stanislav rostotski,la union,drama,andrei martynov,ruso,,stanislav rostotski,kirill molchanov,vyacheslav shumskiy,,estudios de,1.9512138996656074,,
59,Mi querida señorita,Jaime de Armiñán,España,1972,Drama,80.0,"José Luis López Vázquez, Julieta Serrano, Antonio Ferrandis, Enrique Ávila, Lola Gaos, Chus Lampreave Verónica ForquéMónica Randall Luis Barbero",español,Luis Megino,"José Luis Borau, Jaime de Armiñán",Rafael Ferro,Luis Cuadrado,,El Imán,,,0,jaime de,espana,drama,jose luis,espanol,luis megino,jose luis,rafael ferro,luis cuadrado,,el iman,-1.0737389439057412,,
60,La nueva tierra,Jan Troell,Suecia,1972,Drama,204.0,"Max von Sydow, Liv Ullmann, Eddie Axberg, Monica Zetterlund, Allan Edwall, Hans Alfredson, Pierre Lindstedt, Agneta Prytz, Halvar Björk, Peter Lindgren, Per Oscarsson, Oscar Ljung, Tom Fouts",Sueco,Bengt Forslund,"Jan Troell, Bengt Forslund","Bengt Ernryd, Nils Parling, Lars August Lundh, Georg Oddner",Jan Troell,,Svensk Filmindustri,,,0,jan troell,suecia,drama,max von,sueco,bengt forslund,jan troell,bengt ernryd,jan troell,,svensk filmindustri,2.399355061676178,,
61,La noche americana,François Truffaut,"Francia, Italia",1973,Drama,115.0,François Truffaut Jacqueline Bisset Valentina Cortese Jean-Pierre Léaud Jean-Pierre Aumont Alexandra Stewart David Markham Nathalie Baye Dani,Francés,Marcel Berbert,"François Truffaut, Jean-Louis Richard Suzanne Schiffman",Georges Delerue,Pierre-William Glenn,,"Les Films du Carrosse, PECFPIC",,,1,francois truffaut,francia,drama,francois truffaut,frances,marcel berbert,francois truffaut,georges delerue,pierre-william glenn,,les films,-0.093430152007619,,
62,La invitación,Claude Goretta,Suiza,1973,Comedia,100.0,"Jean-Luc Bideau, François Simon, Jean Champion",Francés,Adolphe Viezzi,"Michel Viala, Claude Goretta",Patrick Moraz,Jean Zeller,,,,,0,claude goretta,suiza,comedia,jean-luc bideau,frances,adolphe viezzi,michel viala,patrick moraz,jean zeller,,,-0.5135624913925285,,
63,Der Fußgänger,Maximilian Schell,Alemania,1973,Drama,98.0,"Peggy Ashcroft, Elisabeth Bergner, Lil Dagover, Johanna Hofer, Gustav Rudolf Sellner, Peter Hall, Alexander May, Elsa Wagner, Gila von Weitershausen, Ruth Hausmeister, Dagmar Hirtz, Maximilian Schell, Angela Salloker, Herbert Mensching, Walter Kohut, Christian Kohlund, Walter Varndal, Sigfrit Steiner, Walter Schmidinger, Franz Seitz Jr.Christine Buchegger, Françoise Rosay, Käthe Haack",Francés,,"Maximilian Schell, Dagmar Hirtz, Franz Seitz Jr.",Mános Hatzidákis,"Wolfgang Treu, Klaus König",,,,,0,maximilian schell,alemania,drama,peggy ashcroft,frances,,maximilian schell,manos hatzidakis,wolfgang treu,,,-0.5695801366438499,,
64,Turks fruit,Paul Verhoeven,Países Bajos,1973,Drama erótico,96.0,"Rutger Hauer, Monique van de Ven, Tonny Huurdeman, Wim van den Brink, Hans Boskamp",Neerlandés,Rob Houwer,Gerard Soeteman,Rogier van Otterloo,Jan de Bont,,,,,0,paul verhoeven,paises bajos,drama erotico,rutger hauer,neerlandes,rob houwer,gerard soeteman,rogier van,jan de,,,-0.6255977818951711,,
65,Amarcord,Federico Fellini,Italia,1974,Comedia,127.0,"Pupella Maggio, Armando Brancia, Magali Noël, Ciccio Ingrassia, Nando Orfei, Luigi Rossi, Bruno Zanin, Gianfilippo Carcano, Maria Antonietta Beluzzi",Italiano,Franco Cristaldi,Federico Fellini Tonino Guerra,Nino Rota,Giuseppe Rotunno,Danilo Donati,,,,1,federico fellini,italia,comedia,pupella maggio,italiano,franco cristaldi,federico fellini,nino rota,giuseppe rotunno,danilo donati,,0.24267571950030864,,
66,Juego de gatos,Károly Makk,Hungría,1974,Drama,115.0,"Margit Dajka, Mari Törőcsik, Margit Makay, Samu Balázs, Tibor Szilágyi",Húngaro,,"Károly Makk, István Örkény",Péter Eötvös,János Tóth,,Hunnia Játékfilmstúdió,,,0,karoly makk,hungria,drama,margit dajka,hungaro,,karoly makk,peter eotvos,janos toth,,hunnia jatekfilmstudio,-0.093430152007619,,
67,El diluvio,Jerzy Hoffman,Polonia,1974,cine histórico,315.0,Daniel Olbrychski Małgorzata Braunek Tadeusz Łomnicki Krzysztof Kowalewski,Polaco,,Jerzy Hoffman Adam Kersten Wojciech Zukrowski,Kazimierz Serocki,Jerzy Wójcik,Magdalena Tesławska,"Zespoły Filmowe, Belarusfilm, Dovzhenko Film Studios",,,0,jerzy hoffman,polonia,cine historico,daniel olbrychski,polaco,,jerzy hoffman,kazimierz serocki,jerzy wojcik,magdalena teslawska,zespoly filmowe,5.508334373124509,,
68,Lacombe Lucien,Louis Malle,Francia,1974,Drama,138.0,"Pierre Blaise, Aurore Clément",Francés,"Louis Malle, Claude Nedjar","Louis Malle, Patrick Modiano",Django Reinhardt,Tonino Delli Colli,,"Nouvelles Éditions de Films, Paramount Pictures​Vides Cinematografica​Hallelujah Film​",,,0,louis malle,francia,drama,pierre blaise,frances,louis malle,louis malle,django reinhardt,tonino delli,,nouvelles editions,0.5507727683825756,,
69,La tregua,Sergio Renán,Argentina,1974,"Drama, Romántica",108.0,"Héctor Alterio, Luis Brandoni, Ana María Picchio, Marilina Ross, Aldo Barbero Juan José Camero, Luis Politti, Carlos Carella, Antonio Gasalla Cipe Lincovsky, Oscar Martínez, Norma Aleandro",Castellano rioplatense,"Marta Juana del Carril Aldao, Rosa Zemborain","Aída Bortnik, Sergio Renán",Julián Plaza,Juan Carlos Desanzo,Tita Tamames,Tamames-Zemborain,,,0,sergio renan,argentina,drama,hector alterio,castellano rioplatense,marta juana,aida bortnik,julian plaza,juan carlos,tita tamames,tamames-zemborain,-0.2894919103872435,,
70,Dersu Uzala,Akira Kurosawa,Unión Soviética,1975,"Aventuras, Drama",144.0,"Maxim Munzuk, Yuri Solomin, Svetlana Danílchenko",ruso,"Yoichi Matsue, Nikolái Sizov","Vladímir Arséniev, Akira Kurosawa, Yuri Naguibin",Isaak Shvarts,"Asakazu Nakai, Yuriy Gantman, Fyodor Dobronravov",,Mosfilm,,,1,akira kurosawa,union sovietica,drama,maxim munzuk,ruso,yoichi matsue,vladimir arseniev,isaak shvarts,asakazu nakai,,mosfilm,0.7188257041365395,,
71,Ziemia obiecana,Andrzej Wajda,Polonia,1975,Cine histórico,179.0,"Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn, Kalina Jędrusik, Bożena Dykiel, Franciszek Pieczka, Kazimierz Opaliński, Andrzej Łapicki, Zbigniew Zapasiewicz, Piotr Fronczewski, Jerzy Zelnik, Marek Walczewski, Emilia Krakowska, Wojciech Siemion, Anna Nehrebecka, Andrzej Szalawski, Stanisław Igar, Tadeusz Białoszczyński, Jerzy Nowak, Maciej Góraj, Grażyna Michalska, Włodzimierz Boruński, Danuta Wodyńska, Marian Glinka, Jadwiga Andrzejewska, Aleksander Dzwonkowski, Kazimierz Wichniarz, Zdzisław Kuźniar, Halina Gryglaszewskasin etiquetar, Lidia Korsakówna, Bernard Ladysz, Bogusław Sochnacki, Bohdana Majda, Kazimierz Kaczor, Teodor Gendera, Jerzy Przybylski, Mieczysław Waśkowski, Jan Paweł Kruk, Alicja Sobieraj, Krzysztof Majchrzak, Janina Grzegorczyk, Janina Tur-Kiryłow, Ryszard Bromowicz, Witold Dederko, Tomasz Lengren, Jerzy Braszka, Mariola Kukuła, Jerzy Stasiuk, Lena Wilczyńska, Zofia Wilczyńska, Andrzej Wohl, Teresa Budzisz-Krzyzanowska",Polaco,,"Andrzej Wajda, Władysław Reymont",Wojciech Kilar,"Witold Sobociński, Edward Kłosiński",Barbara Ptak,,,,0,andrzej wajda,polonia,cine historico,daniel olbrychski,polaco,,andrzej wajda,wojciech kilar,witold sobocinski,barbara ptak,,1.6991344960346617,,
72,Actas de Marusia,Miguel Littín,México,1975,Drama,110.0,"Gian María Volonté, Arturo Beristain, Diana Bracho",Español,Arturo Feliu,Miguel Littín,Mikis Theodorakis,Jorge Stahl Jr.,,Corporación Nacional Cinematográfica,,,0,miguel littin,mexico,drama,gian maria,espanol,arturo feliu,miguel littin,mikis theodorakis,jorge stahl,,corporacion nacional,-0.2334742651359222,,
73,Sandakan hachibanshokan bohkyo,Kei Kumai,Japón,1975,"Drama, historia, bélico",120.0,"Kinuyo Tanaka, Komaki Kurihara, Takiko Mizunoe, Eitaro Ozawa",japonés,Masayuki Satô - Hideyuki Shiino,Sakae Hirosawa - Kei Kumai,Akira Ifukube,Mitsuji Kanau,,Tōhō,,,0,kei kumai,japon,drama,kinuyo tanaka,japones,masayuki sato,sakae hirosawa,akira ifukube,mitsuji kanau,,toho,0.04661396112068417,,
74,Perfume de mujer,Dino Risi,Italia,1975,"Comedia, drama",102.0,"Vittorio Gassman, Alessandro Momo, Agostina Belli",Italiano,"Pio Angeletti, Adriano De Micheli","Ruggero Maccari, Dino Risi",Armando Trovaioli,Claudio Cirillo,,,,,0,dino risi,italia,drama,vittorio gassman,italiano,pio angeletti,ruggero maccari,armando trovaioli,claudio cirillo,,,-0.4575448461412073,,
75,La victoire en chantant,Jean-Jacques Annaud,Francia,1976,Comedia negra,90.0,"Jean Carmet, Jacques Dufilho, Peter Berling, Catherine Rouvel, Jacques Spiesser, Dora Doll, Dieter Schidor, Claude Legros, Jacques Monnet, Marc Zuber, Maurice Barrier",Francés,"Jacques Perrin, Arthur Cohn",Georges Conchon,Pierre Bachelet,Claude Augostini,,"France 3 Cinéma, Reggane Films, Smart Film Produktion, Société Française de Production, Société Ivoirienne de Cinema",,,1,jean-jacques annaud,francia,comedia negra,jean carmet,frances,jacques perrin,georges conchon,pierre bachelet,claude augostini,,france 3,-0.793650717649135,,
76,"Cousin, cousine",Jean-Charles Tacchella,Francia,1976,"Drama, Comedia, Romance",95.0,"Marie-Christine Barrault, Victor Lanoux, Marie-France Pisier",francés,Daniel Toscan du Plantier,Jean-Charles Tacchella Danièle Thompson,Gérard Anfosso,,,,400000.0,87000000.0,0,jean-charles tacchella,francia,drama,marie-christine barrault,frances,daniel toscan,jean-charles tacchella,gerard anfosso,,,,-0.6536066045208317,-0.1349381497543193,-0.11963728776137116
77,Siete bellezas,Lina Wertmüller,Italia,1976,Drama,115.0,"Giancarlo Giannini, Fernando Rey, Shirley Stoler, Elena Fiore",Italiano,"Arrigo Colombo, Lina Wertmüller",Lina Wertmüller,Enzo Jannacci,Tonino Delli Colli,,,,,0,lina wertmuller,italia,drama,giancarlo giannini,italiano,arrigo colombo,lina wertmuller,enzo jannacci,tonino delli,,,-0.093430152007619,,
78,Madame Rosa,Moshé Mizrahi,Francia,1977,Drama,105.0,"Simone Signoret, Michal Bat-Adam, Abder El Kebir, Bernard Lajarrige, Claude Dauphin, Costa-Gavras, Gabriel Jabbour, Geneviève Fontanel, Ibrahim Seck, Mohamed Zinet, Théo Légitimus",Francés,Ralph Baum,Moshé Mizrahi,Philippe Sarde,Néstor Almendros,Jacques Fonteray,,,,1,moshe mizrahi,francia,drama,simone signoret,frances,ralph baum,moshe mizrahi,philippe sarde,nestor almendros,jacques fonteray,,-0.3735183782642254,,
79,Mivtsa Yonatan,Menahem Golan,Israel,1977,"Acción, drama, historia",124.0,"Yehoram Gaon, Gila Almagor, Assi Dayán, Sybil Danning, Klaus Kinski, Uzi Cohen",Inglés,"Sybil Danning, Yoram Globus, Menahem Golan","Ken Globus, Menahem Golan, Clarke Reynolds",Dov Seltzer,Adam Greenberg,Rochelle Zaltzman,,25000000.0,,0,menahem golan,israel,drama,yehoram gaon,ingles,sybil danning,ken globus,dov seltzer,adam greenberg,rochelle zaltzman,,0.15864925162332671,-0.13492924942120502,
80,Una jornada particular,Ettore Scola,"Italia, Canadá",1977,Drama,110.0,Marcello Mastroianni Sophia Loren John Vernon Alessandra Mussolini Françoise Berd Patrizia Basso Tiziano De Persio Maurizio Di Paolantonio Antonio Garibaldi Vittorio Guerrieri Nicole Magny,Italiano,Carlo Ponti,Maurizio Costanzo Ruggero Maccari Ettore Scola,Armando Trovaioli,Pasqualino De Santis,Enrico Sabbatini,Compagnia Cinematografica Champion Canafox,,,0,ettore scola,italia,drama,marcello mastroianni,italiano,carlo ponti,maurizio costanzo,armando trovaioli,pasqualino de,enrico sabbatini,compagnia cinematografica,-0.2334742651359222,,
81,Ese oscuro objeto del deseo,Luis Buñuel,Francia,1977,Drama,104.0,"Fernando Rey, Carole BouquetÁngela Molina, Julien Bertheau, André Weber, María Asquerino",Francés,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière",Richard Wagner,Edmond Richard,Sylvie De Segonzac,"Greenwich Film Productions, Les Films Galaxie, In-Cine Compañía Industrial Cinematográfica",,55261.0,0,luis bunuel,francia,drama,fernando rey,frances,serge silberman,luis bunuel,richard wagner,edmond richard,sylvie de,greenwich film,-0.401527200889886,,-0.11964013410706614
82,Magyarok,Zoltán Fábri,Hungría,1978,Drama,107.0,Gábor Koncz,Húngaro,,"József Balázs, Zoltán Fábri",György Vukán,György Illés,,Mafilm,,,0,zoltan fabri,hungria,drama,gabor koncz,hungaro,,jozsef balazs,gyorgy vukan,gyorgy illes,,mafilm,-0.3175007330129041,,
83,"Bim, mi mejor amigo",Stanislav Rostotsky,Unión Soviética,1978,Drama,182.0,"Vyacheslav Tikhonov, Stiv, Dendy",Ruso,Yakov Sapozhnikov,Stanislav Rostotsky,Andréi Petrov,Vyacheslav Shumsky,Elza Rapoport,Gorky Film Studios,,,0,stanislav rostotsky,union sovietica,drama,vyacheslav tikhonov,ruso,yakov sapozhnikov,stanislav rostotsky,andrei petrov,vyacheslav shumsky,elza rapoport,gorky film,1.7831609639116437,,
84,El tambor de hojalata,Volker Schlöndorff,"Alemania, Polonia, Francia",1979,Drama,142.0,"Mario Adorf, Angela Winkler, David Bennent, Daniel Olbrychski, Katharina Thalbach, Charles Aznavour","Alemán, polaco, hebreo e italiano","Franz Seitz, Anatole Dauman","Volker Schlöndorff, Jean-Claude Carrière, Franz Seitz",Maurice Jarre,Igor Luther,,Jadran Film  Franz Seitz Filmproduktion,,25000000.0,1,volker schlondorff,alemania,drama,mario adorf,polaco,franz seitz,volker schlondorff,maurice jarre,igor luther,,jadran film,0.6628080588852182,,-0.11963931748088172
85,Las señoritas de Wilko,Andrzej Wajda,Polonia,1979,Drama,118.0,Daniel Olbrychski  Anna Seniuk  Maja Komorowska,polaco,Allan Starski,Zbigniew Kaminski,Karol Szymanowski,Edward Kłosiński,,Bayerischer Rundfunk   Roxy Film  Solaris Film,,,0,andrzej wajda,polonia,drama,daniel olbrychski,polaco,allan starski,zbigniew kaminski,karol szymanowski,edward klosinski,,bayerischer rundfunk,-0.009403684130637099,,
86,Mamá cumple cien años,Carlos Saura,España,1979,Comedia,94.0,Geraldine Chaplin Fernando Fernán Gómez  Rafaela Aparicio Amparo Muñoz Charo Soriano,Español,Elías Querejeta,Carlos Saura  Rafael Azcona,Luis de Pablo,Teo Escamilla,,,,,0,carlos saura,espana,comedia,geraldine chaplin,espanol,elias querejeta,carlos saura,luis de,teo escamilla,,,-0.6816154271464924,,
87,Moscú no cree en las lágrimas,Vladímir Menshov,la Unión Soviética,1980,"Comedia, drama, romance",148.0,"Vera Aléntova, Irina Muravyova, Raísa Ryazánova, Oleg Tabakov",Ruso,,Valentín Chernyj,Serguéi Nikitin,Ígor Slabnévich,,Mosfilm,,,1,vladimir menshov,la union,drama,vera alentova,ruso,,valentin chernyj,serguei nikitin,igor slabnevich,,mosfilm,0.8308609946391821,,
88,Bizalom,István Szabó,Hungría,1980,Drama,105.0,"Ildikó Bánsági, Péter Andorai, Oszkárné Gombik",Húngaro,,István Szabó,Tibor Polgar,Lajos Koltai,,Mafilm,,,0,istvan szabo,hungria,drama,ildiko bansagi,hungaro,,istvan szabo,tibor polgar,lajos koltai,,mafilm,-0.3735183782642254,,
89,Kagemusha,Akira Kurosawa,Japón,1980,Drama,159.0,"Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara, Jinpachi Nezu, Hideji Otaki, Daisuke Ryu, Masayuki Yui, Kaori Momoi",Japonés,"Akira Kurosawa, Francis Ford Coppola, George Lucas20th century Fox","Masato Ide, Akira Kurosawa",Shinichirô Ikebe,Takao SaitôMasaharu Ueda,,,,,0,akira kurosawa,japon,drama,tatsuya nakadai,japones,akira kurosawa,masato ide,shinichiro ikebe,takao saitomasaharu,,,1.138958043521449,,
90,El último metro,François Truffaut,Francia,1980,"Drama, romántico",131.0,Catherine Deneuve Gérard Depardieu Heinz Bennent Jean Poiret Andréa Ferréol Paulette Dubost Sabine Haudepin Jean-Louis Richard Maurice Risch Jean-Pierre Klein Richard Bohringer Christian Baltauss László Szabó,francés,François Truffaut,"François Truffaut, Suzanne Schiffman, Jean-Claude Grumberg",Georges Delerue,Néstor Almendros,,Les Films du Carrosse Sédif Productions TF1 Films Production Société Française de Production,,,0,francois truffaut,francia,drama,catherine deneuve,frances,francois truffaut,francois truffaut,georges delerue,nestor almendros,,les films,0.3547110100029512,,
91,El nido,Jaime de Armiñán,España,1980,Drama,97.0,"Héctor Alterio, Ana Torrent, Luis Politti, Agustín González, Patricia Adriani, María Luisa Ponte, Mercedes Alonso, Luisa Rodrigo, Amparo BaróOvidi Montllor, Mauricio Calvo",español,,Jaime de Armiñán,,Teo Escamilla,,,,,0,jaime de,espana,drama,hector alterio,espanol,,jaime de,,teo escamilla,,,-0.5975889592695105,,
92,Mefisto,István Szabó,Hungría,1981,Drama,144.0,"Klaus Maria Brandauer, Krystyna Janda, Ildikó Bánsági",Húngaro,Manfred Durniok,"Péter Dobai, Klaus Mann, István Szabó",Zdenko Tamássy,Lajos Koltai,,,,,1,istvan szabo,hungria,drama,klaus maria,hungaro,manfred durniok,peter dobai,zdenko tamassy,lajos koltai,,,0.7188257041365395,,
93,Das Boot ist voll,Markus Imhoof,Suiza,1981,Drama,101.0,"Tina Engel, Hans Diehl, Curt Bois, Mathias Gnädinger, Michael Gempart",Alemán,George Reinhart,"Markus Imhoof, Alfred A. Haesler",,Hans Liechti,,,,,0,markus imhoof,suiza,drama,tina engel,aleman,george reinhart,markus imhoof,,hans liechti,,,-0.48555366876686795,,
94,El hombre de hierro,Andrzej Wajda,Polonia,1981,Drama,153.0,"Jerzy Radziwiłowicz, Krystyna Janda, Marian Opania​",Polaco,Barbara Pec-Ślesicka,Aleksander Ścibor-Rylski,Andrzej Korzyński,Edward Kłosiński,Wiesława Starska,Zespół Filmowy “X”,,,0,andrzej wajda,polonia,drama,jerzy radziwilowicz,polaco,barbara pec-slesicka,aleksander scibor-rylski,andrzej korzynski,edward klosinski,wieslawa starska,zespol filmowy,0.9709051077674852,,
