,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
12,La Gran Guerra,Mario Monicelli,"Italia, Francia",1959,"Comedia, drama, bélico",137.0,"Vittorio Gassman, Alberto Sordi, Silvana Mangano",Italiano,Dino De Laurentiis,"Mario Monicelli, Agenore Incrocci, Furio Scarpelli, Luciano Vincenzoni, Carlo Salsa",Nino Rota,"Roberto Gerardi, Giuseppe Rotunno, Leonida Barboni, Giuseppe Serrandi",Danilo Donati,"Dino de Laurentiis Cinematográfica, Gray-Film",,,0,mario monicelli,italia,drama,vittorio gassman,italiano,dino de,mario monicelli,nino rota,roberto gerardi,danilo donati,dino de,0.522763945756915,,
13,El manantial de la doncella,Ingmar Bergman,Suecia,1960,Fantasía,89.0,"Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson, Axel Düberg",suecoalemán,"Ingmar Bergman, Allan Ekelund",Ulla Isaksson,Erik Nordgren,Sven Nykvist,Marik Vos-Lundh,Svensk Filmindustri,,,1,ingmar bergman,suecia,fantasia,max von,suecoaleman,ingmar bergman,ulla isaksson,erik nordgren,sven nykvist,marik vos-lundh,svensk filmindustri,-0.8216595402747956,,
14,Kapò,Gillo Pontecorvo,"Italia, Francia, Yugoslavia",1960,Cine bélico,116.0,"Susan Strasberg, Didi Perego, Laurent Terzieff",italiano,"Franco Cristaldi, Moris Ergas","Gillo Pontecorvo, Franco Solinas",Carlo Rustichelli,Aleksandar Sekulović,,Cineriz,,,0,gillo pontecorvo,italia,cine belico,susan strasberg,italiano,franco cristaldi,gillo pontecorvo,carlo rustichelli,aleksandar sekulovic,,cineriz,-0.06542132938195837,,
15,La verdad,Henri-Georges Clouzot,Francia,1960,Drama,124.0,"Brigitte Bardot, Charles Vanel, Paul Meurisse, Sami Frey, Jacques Perrin, Marie-José Nat, Louis Seigner, Jean-Loup Reynold, Albert Michel, André Oumansky, Barbara Sommers, Betty Beckers, Charles Bouillaud, Christian Lude, Claude Berri, Claudine Berg, Colette Castel, Colette Régis, Dominique ZardiÉdouard Francomme, Fernand Ledoux, Georgette Peyron, Germaine Delbat, Guy Tréjan, Hubert de Lapparent, Jackie Sardou, Jacqueline Porel, Jacques Hilling, Jacques Marin, Laure Paillette, Louis Arbessier, Louis Saintève, Marc Arian, Marcel Cuvelier, Marcel Delaître, Marcel Loche, Paul Bonifas, Pierre Durou, Raymond Meunier, René Blancard, Robert Blome, Robert Mercier, Simone Berthier, Suzy Willy, Yvonne Dany",Francés,Raoul Lévy,"Henri-Georges Clouzot, Christiane Rochefort, Véra Clouzot",Ígor Stravinsky,Armand Henri Julien Thirard,,,,,0,henri-georges clouzot,francia,drama,brigitte bardot,frances,raoul levy,henri-georges clouzot,igor stravinsky,armand henri,,,0.15864925162332671,,
16,Macario,Roberto Gavaldón,México,1960,Drama psicológico,91.0,"Ignacio López Tarso, Pina Pellicer",Español,Armando Orive Alba,"Emilio Carballido, Roberto Gavaldón",Raúl Lavista,Gabriel Figueroa,,Clasa Films Mundiales,,80000.0,0,roberto gavaldon,mexico,drama psicologico,ignacio lopez,espanol,armando orive,emilio carballido,raul lavista,gabriel figueroa,,clasa films,-0.7656418950234744,,-0.11964013329717532
17,Såsom i en spegel,Ingmar Bergman,Suecia,1961,Drama,89.0,"Harriet Andersson, Max von Sydow, Gunnar Björnstrand, Lars Passgård.",Sueco,Allan Ekelund,Ingmar Bergman,Erik Nordgren,Sven Nykvist,Mago,Svensk Filmindustri,,,1,ingmar bergman,suecia,drama,harriet andersson,sueco,allan ekelund,ingmar bergman,erik nordgren,sven nykvist,mago,svensk filmindustri,-0.8216595402747956,,
18,Ánimas Trujano,Ismael Rodríguez,México,1961,drama,104.0,"Toshirō Mifune, Columba Domínguez, Flor Silvestre, Pepe Romay, Titina Romay, Antonio Aguilar, José Chávez Trowe, Eduardo Fajardo.",español,Ismael Rodríguez,"Rogelio Barriga Rivas, Vincent Orona, Jr.",Raúl Lavista,Gabriel Figueroa,,,,,0,ismael rodriguez,mexico,drama,toshiro mifune,espanol,ismael rodriguez,rogelio barriga,raul lavista,gabriel figueroa,,,-0.401527200889886,,
19,Plácido,Luis García Berlanga,España,1961,Comedia,83.0,"Cassen, José Luis López Vázquez, Amelia de la Torre, Mari Carmen Yepes, José María Caffarel, Manuel Alexandre, Elvira QuintilláAmparo Soler Leal, Xan Das Bolas, Félix Dafauce, Julia Delgado Caro, Julia Caba Alba",Español,Alfredo Matas,"Rafael Azcona, José Luis Colina, José Luis Font, Luis García Berlanga",Miguel Asins Arbó,Francisco Sempere,Hermanos Peris,Jet Films,,,0,luis garcia,espana,comedia,cassen,espanol,alfredo matas,rafael azcona,miguel asins,francisco sempere,hermanos peris,jet films,-0.9897124760287594,,
20,Sibila,Serge Bourguignon,Francia,1962,Drama,110.0,"Hardy Krüger, Nicole Courcel, Patricia Gozzi",francés,Romain Pinès,"Serge Bourguignon, Antoine Tudal",Maurice Jarre,Henri Decaë,,Fides,,,1,serge bourguignon,francia,drama,hardy kruger,frances,romain pines,serge bourguignon,maurice jarre,henri decae,,fides,-0.2334742651359222,,
21,Electra,Michael Cacoyannis,Grecia,1962,Drama,110.0,"Irene Papas, Guiannis Fertis, Aleka Katselli, Manos Katrakis, Notis Peryalis, Fivos Razi, Takis Emmanuel, Theano Ioannidou, Malaina Anousaki, Theodoros Dimitriou, Elsie Pittas, Petros Ampelas, Kitty Arseni, Thodoros Exarhos, Elli Fotiou, Afroditi Grigoriadou, Kostas Kazakos",Griego,Michael Cacoyannis,Michael Cacoyannis,Mikis Theodorakis,Walter Lassally,,Finos Film,,,0,michael cacoyannis,grecia,drama,irene papas,griego,michael cacoyannis,michael cacoyannis,mikis theodorakis,walter lassally,,finos film,-0.2334742651359222,,
22,Le quattro giornate di Napoli,Nanni Loy,Italia,1962,"Dramático, histórico, guerra",116.0,"Raffaele Barbato: Ajello, Charles Belmont: marinero, Silvana Buzzanca: Immacolata, Luigi De Filippo: Cicillo, Domenico Formato: Gennarino Capuozzo, Enzo Cannavale: Un partisano, Regina Bianchi: Concetta Capuozzo, Aldo Giuffré: Pitrella, Curt Lowens: oficial alemán, Pupella Maggio: madre de Arturo, Rosalia Maggio: mujer angustiada, Lea Massari: Maria, Jean Sorel: marinero livornés, Franco Sportelli: Profesor Rosati, Enzo Turco: Valente, Gian Maria Volonté: capitán Stimolo, Georges Wilson: director del reformatorio, Frank Wolff: Salvatore, Raf Vallone:Eduardo Passarelli:Carlo Taranto: jugador de cartas, Luigi Avarista: uno de los amotinados, Adriana Facchetti: mujer angustiada, Pasquale Fasciano: el  hombre fuerte que empuja el cañón",Italiano,Goffredo Lombardo,"Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy",Carlo Rustichelli,Marcello Gatti,,Titanus,,,0,nanni loy,italia,guerra,raffaele barbato:,italiano,goffredo lombardo,carlo bernari,carlo rustichelli,marcello gatti,,titanus,-0.06542132938195837,,
23,El pagador de promesas,Anselmo Duarte,Brasil,1962,Drama,92.0,"Glória Menezes, Norma Bengell, Leonardo Villar, Geraldo Del Rey",Portugués,Anselmo Duarte,Anselmo Duarte,Gabriel Migliori,,,,,,0,anselmo duarte,brasil,drama,gloria menezes,portugues,anselmo duarte,anselmo duarte,gabriel migliori,,,,-0.7376330723978136,,
24,Tlayucan,Luis Alcoriza,México,1962,Cine de humor negro,95.0,Julio Aldama Norma Angélica Ladrón de Guevara Jorge Martínez de Hoyos Andrés Soler,Español,Antonio Matouk,Luis Alcoriza,Sergio Guerrero,Rosalio Solano,,Producciones Matouk,,,0,luis alcoriza,mexico,cine de,julio aldama,espanol,antonio matouk,luis alcoriza,sergio guerrero,rosalio solano,,producciones matouk,-0.6536066045208317,,
