Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador
Kapò,Gillo Pontecorvo,"Italia, Francia, Yugoslavia",1960,Cine bélico,116,"Susan Strasberg, Didi Perego, Laurent Terzieff",italiano,"Franco Cristaldi, Moris Ergas","Gillo Pontecorvo, Franco Solinas",Carlo Rustichelli,Aleksandar Sekulović,,Cineriz,,,0
La verdad,Henri-Georges Clouzot,Francia,1960,Drama,124,"45 personas, Brigitte Bardot, Charles Vanel, Paul Meurisse, Sami Frey, Jacques Perrin, Marie-José Nat, Louis Seigner, Jean-Loup Reynold, Albert Michel, André Oumansky, Barbara Sommers, Betty Beckers, Charles Bouillaud, Christian Lude, Claude Berri, Claudine Berg, Colette Castel, Colette Régis, Dominique ZardiÉdouard Francomme, Fernand Ledoux, Georgette Peyron, Germaine Delbat, Guy Tréjan, Hubert de Lapparent, Jackie Sardou, Jacqueline Porel, Jacques Hilling, Jacques Marin, Laure Paillette, Louis Arbessier, Louis Saintève, Marc Arian, Marcel Cuvelier, Marcel Delaître, Marcel Loche, Paul Bonifas, Pierre Durou, Raymond Meunier, René Blancard, Robert Blome, Robert Mercier, Simone Berthier, Suzy Willy, Yvonne Dany",Francés,Raoul Lévy,"Henri-Georges Clouzot, Christiane Rochefort, Véra Clouzot",Ígor Stravinsky,Armand Henri Julien Thirard,,,,,0
Macario,Roberto Gavaldón,México,1960,Drama psicológico,91,"Ignacio López Tarso, Pina Pellicer",Español,Armando Orive Alba,"Emilio Carballido, Roberto Gavaldón",Raúl Lavista,Gabriel Figueroa,,Clasa Films Mundiales,,80000,0
Såsom i en spegel,Ingmar Bergman,Suecia,1961,Drama,89,"Harriet Andersson, Max von Sydow, Gunnar Björnstrand, Lars Passgård.",Sueco,Allan Ekelund,Ingmar Bergman,Erik Nordgren,Sven Nykvist,Mago,Svensk Filmindustri,,,1
Ánimas Trujano,Ismael Rodríguez,México,1961,drama,104,"Toshirō Mifune, Columba Domínguez, Flor Silvestre, Pepe Romay, Titina Romay, Antonio Aguilar, José Chávez Trowe, Eduardo Fajardo.",español,Ismael Rodríguez,"Rogelio Barriga Rivas, Vincent Orona, Jr.",Raúl Lavista,Gabriel Figueroa,,,,,0
Plácido,Luis García Berlanga,España,1961,Comedia,83,"Cassen, José Luis López Vázquez, Amelia de la Torre, Mari Carmen Yepes, José María Caffarel, Manuel Alexandre, Elvira QuintilláAmparo Soler Leal, Xan Das Bolas, Félix Dafauce, Julia Delgado Caro, Julia Caba Alba",Español,Alfredo Matas,"Rafael Azcona, José Luis Colina, José Luis Font, Luis García Berlanga",Miguel Asins Arbó,Francisco Sempere,Hermanos Peris,Jet Films,,,0
Sibila,Serge Bourguignon,Francia,1962,Drama,110,"Hardy Krüger, Nicole Courcel, Patricia Gozzi",francés,Romain Pinès,"Serge Bourguignon, Antoine Tudal",Maurice Jarre,Henri Decaë,,Fides,,,1
Electra,Michael Cacoyannis,Grecia,1962,Drama,110,"Irene Papas, Guiannis Fertis, Aleka Katselli, Manos Katrakis, Notis Peryalis, Fivos Razi, Takis Emmanuel, Theano Ioannidou, Malaina Anousaki, Theodoros Dimitriou, Elsie Pittas, Petros Ampelas, Kitty Arseni, Thodoros Exarhos, Elli Fotiou, Afroditi Grigoriadou, Kostas Kazakos",Griego,Michael Cacoyannis,Michael Cacoyannis,Mikis Theodorakis,Walter Lassally,,Finos Film,,,0
Le quattro giornate di Napoli,Nanni Loy,Italia,1962,"Dramático, histórico, guerra",116,"Raffaele Barbato: Ajello, Charles Belmont: marinero, Silvana Buzzanca: Immacolata, Luigi De Filippo: Cicillo, Domenico Formato: Gennarino Capuozzo, Enzo Cannavale: Un partisano, Regina Bianchi: Concetta Capuozzo, Aldo Giuffré: Pitrella, Curt Lowens: oficial alemán, Pupella Maggio: madre de Arturo, Rosalia Maggio: mujer angustiada, Lea Massari: Maria, Jean Sorel: marinero livornés, Franco Sportelli: Profesor Rosati, Enzo Turco: Valente, Gian Maria Volonté: capitán Stimolo, Georges Wilson: director del reformatorio, Frank Wolff: Salvatore, Raf Vallone:Eduardo Passarelli:Carlo Taranto: jugador de cartas, Luigi Avarista: uno de los amotinados, Adriana Facchetti: mujer angustiada, Pasquale Fasciano: el  hombre fuerte que empuja el cañón",Italiano,Goffredo Lombardo,"Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy",Carlo Rustichelli,Marcello Gatti,,Titanus,,,0
El pagador de promesas,Anselmo Duarte,Brasil,1962,Drama,92,"Glória Menezes, Norma Bengell, Leonardo Villar, Geraldo Del Rey",Portugués,Anselmo Duarte,Anselmo Duarte,Gabriel Migliori,,,,,,0
Tlayucan,Luis Alcoriza,México,1962,Cine de humor negro,95,Julio Aldama Norma Angélica Ladrón de Guevara Jorge Martínez de Hoyos Andrés Soler,Español,Antonio Matouk,Luis Alcoriza,Sergio Guerrero,Rosalio Solano,,Producciones Matouk,,,0
8½,Federico Fellini,Italia,1963,Drama,146,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo, Barbara Steele, Rossella Falk",Italiano,Angelo Rizzoli,"Argumento: Federico Fellini, Ennio Flaiano, Guion: Ennio Flaiano, Tullio Pinelli Brunello Rondi, Federico Fellini",Nino Rota,Gianni Di Venanzo,Piero Gherardi,"Cineriz, Francinex",,,1
El cuchillo en el agua,Roman Polański,Polonia,1963,Drama,94,"Leon Niemczyk Jolanta Umecka, Zygmunt Malanowicz, Annamaria Chio",Polaco,Stanislaw Zylewicz,"Jakub Goldberg, Roman Polański, Jerzy Skolimowski",Krzysztof T. Komeda Bernt Rosengren,Jerzy Lipman,Barbara Ptak,"Zespol Filmowy ""Kamera""",,,0
Los Tarantos,Francisco Rovira-Beleta,España,1963,Musical,83,"Antonio Gades, Carmen Amaya",Español,,"Francisco Rovira-Beleta, Alfredo Mañas","Andrés Batista, Fernando García Morcillo, Emilio Pujol, José Solá",Massimo Dallamano,,,,,0
"Ayer, hoy y mañana",Vittorio de Sica,Italia,1964,Comedia,118,"Sophia Loren, Marcello Mastroianni, Aldo GiuffrèAgostino Salvietti, Lino Mattera, Tecla Scarano, Silvia Monelli, Carlo Croccolo, Pasquale Cennamo Tonino Cianci, Armando Trovajoli, Tina Pica, Gianni Ridolfi, Gennaro Di Gregorio",Italiano,Carlo Ponti,"Billa Billa, Eduardo De Filippo, Alberto Moravia, Isabella Quarantotti, Cesare Zavattini",Armando Trovaioli,Giuseppe Rotunno,Piero Tosi,,,,1
Sallah Shabati,Efraim Kishón,Israel,1964,Comedia,98,"Chaim Topol, Arik Einstein, Gila Almagor, Zaharira Harifai",Hebreo,Menahem Golan,Efraim Kishón,Yohanan Zarai,Floyd Crosby,,,,,0
Los paraguas de Cherburgo,Jacques Demy,"Francia, Alemania Occidental",1964,"Musical, drama, romántico",91,"Catherine Deneuve, Nino Castelnuovo",Francés,Mag Bodard,Jacques Demy,Michel Legrand,Jean Rabier,,"Parc Film, Madeleine Films, Beta Film",,,0
La mujer de la arena,Hiroshi Teshigahara,Japón,1964,Drama,146,"Eiji Okada, Kyōko Kishida",japonés,"Kiichi Ichikawa, Tadashi Ōno",Kōbō Abe,Tōru Takemitsu,Hiroshi Segawa,,Teshigahara Production,,,0
La tienda de la Calle Mayor,Ján Kadár,Checoslovaquia,1965,Guerra y Drama,125,"Ida Kamińska, Jozef Kroner, Frantisek Zvarík, Hana SlivkováMartin Gregor",Eslovaco,"Jordan Balurov, M. Broz, Karel Feix, Jaromír Lukás, Frank Daniel","Ladislav Grosman, Ján Kadár, Elmar Klos",Zdenek Liska,Vladimír Novotný,,Barrandov Studios,,,1
Käre John,Lars-Magnus Lindgren,Suecia,1965,Dramático,115,"Jarl Kulle, Christina Schollin",Sueco,"Göran Lindgren, Bo Jonsson",Lars-Magnus Lindgren,Bengt-Arne Wallin,Rune Ericson,Gunilla Pontén,,,,0
Matrimonio a la italiana,Vittorio De Sica,Italia,1965,Romance,95,"Sophia Loren, Marcello Mastroianni, Aldo Puglisi, Tecla Scarano, Marilù Tolo, Gianni Ridolfi, Lino Mattera Alfio Vita",Italiano,Carlo Ponti,"Renato Castellani, Antonio Guerra, Leo Benvenuti, Piero de Bernardi",Armando Trovaioli,Roberto Gerardi,Piero Tosi,"Compagnia Cinematografica Champion, Cocinor, Les Films Marceau, Société Générale de Cinématographie, Coproducción Italia-Francia; Compagnia Cinematografica Champion / Les Films",,,0
Un hombre y una mujer,Claude Lelouch,Francia,1966,drama romántico,102,"Anouk Aimée, Jean-Louis Trintignant",Francés,Claude Lelouch,"Claude Lelouch, Pierre Uytterhoeven",Francis Lai,Claude Lelouch,,Les Films 13,,,1
La batalla de Argel,Gillo Pontecorvo,"Argelia, Italia",1966,Histórico,121,Brahim Hadjadj Jean Martin Yacef Saâdi Samia Kerbash Ugo Paletti Fusia El Kader Mohamed Ben Kassen,Árabe,Antonio Musu Yacef Saâdi,Gillo Pontecorvo Franco Solinas,Gillo Pontecorvo Ennio Morricone,Marcello Gatti,,Igor Film Casbah Film,,962002,0
Los amores de una rubia,Miloš Forman,Checoslovaquia,1966,Drama,90,"Hana BrejchováVladimír Pucholt, Vladimír Menšík, Ivan Kheil, Jirí HrubýMilada JezkováJosef Sebánek",Checo,Doro Vlado HreljanovićRudolf Hájek,"Miloš Forman, Jaroslav Papoušek",Evžen Illín,Miroslav Ondrícek,Zdena Snajdarová,Barrandov Studios,,,0
Faraón,Jerzy Kawalerowicz,República Popular de Polonia,1966,Drama,180,"21 personas, Jerzy Zelnik, Barbara Brylska, Krystyna Mikołajewska, Stanisław Milski, Kazimierz Opaliński, Wiesława Mazurkiewicz, Jerzy Block, Ewa Krzyżewska, Ryszard Ronczewski, Piotr Pawłowski, Leszek Herdegen, Emir Buczacki, Andrzej Girtler, Wiktor Grotowicz, Józef Czerniawski, Edward Rączkowski, Alfred Łodziński, Jarosław Skulski, Leonard Andrzejewski, Lucyna Winnicka, Mieczysław Voit",Polaco,,"Tadeusz Konwicki, Jerzy Kawalerowicz",Adam Walaciński,Jerzy Wójcik,,Filmstudio Kadr,,,0
Trenes rigurosamente vigilados,Jiří Menzel,Checoslovaquia,1967,Drama,92,"Václav NeckářJitka BendováJosef Somr, Vlastimil BrodskýVladimír Valenta",checoalemán,Zdeněk Oves,Jiří Menzel,Jiří Šust,Jaromír Šofr,Olga Dimitrovová,Barrandov Studios,,1500000,1
El amor brujo,Francisco Rovira Beleta,España,1967,Musical,103,"Antonio Gades, La Polaca, Rafael de Córdova, Morucha, Nuria Torray",Español,,"José Antonio Medrano, José Manuel Caballero Bonald, Francisco Rovira Beleta","Ernesto Halffter, Narciso Yepes","Gábor Pogány, Francisco Herrada Marín",,"Exclusivas Floralva Producción, Films Rovira Beleta",,,0
Skupljači perja,Aleksandar Petrović,Yugoslavia,1967,Drama,94,"Bekim Fehmiu, Olivera Vučo, Bata ŽivojinovićGordana JovanovićMija Aleksić",serbocroata,,Aleksandar Petrović,Aleksandar Petrović,Tomislav Pinter,,,,,0
Vivir para vivir,Claude Lelouch,Francia,1967,Drama,130,"Yves Montand, Candice Bergen, Annie Girardot",francés,"Georges Dancigers, Alexandre Mnouchkine","Claude Lelouch, Pierre Uytterhoeven",Francis Lai,Patrice Pouget,,Vides Cinematografica,,,0
Guerra y paz,Serguéi Bondarchuk,la Unión Soviética,1968,Cine bélico,484,"Ludmila Savélyeva, Viacheslav Tíjonov, Serguéi Bondarchuk",Ruso,GoskinóMosfilm,"Serguéi Bondarchuk, Vasili Solovyov, León Tolstói",Vyacheslav Ovchínnikov,"Anatoly Petritsky, Iolanda Chen, Aleksandr Shelenkov",,Mosfilm,8291712,58000000,1
Los muchachos de la calle Pal,Zoltán Fábri,Hungría,1968,Drama,110,Mari Törőcsik,Húngaro,Endre Bohem,"Endre Bohem, Zoltán Fábri, Ferenc Molnár",Emil Petrovics,György Illés,Judit Schäffer,"Groskopf, MAFILM Stúdio 1",,,0
"¡Al fuego, bomberos!",Miloš Forman,Checoslovaquia,1968,Comedia,71,"Josef Šebánek, Stanislav Ditrich, Milada Ježková",checo,Rudolf Hájek,Miloš Forman Ivan Passer Jaroslav Papoušek,Karel Mareš,Miroslav Ondříček,,Barrandov Studios,,,0
La ragazza con la pistola,Mario Monicelli,Italia,1968,Comedia,100,"Monica Vitti, Stanley Baker",italiano,Gianni Hecht Lucari,"Luigi Magni, Rodolfo Sonego",Peppino De Luca,Carlo Di Palma,Maurizio Chiari,,,,0
Baisers volés,François Truffaut,Francia,1968,"Drama, comedia",90,"Jean-Pierre Léaud, Claude Jade, Daniel Ceccaldi, Claire Duhamel, Delphine Seyrig, Michael Lonsdale",Francés,Marcel Berbert,"François Truffaut, Claude de Givray, Bernard Revon",Antoine Duhamel,Denys Clerval,,Les Films du Carrosse,,,0
Z,Costa-Gavras,"Argelia, Francia",1969,Thriller político,127,Yves Montand Jean-Louis Trintignant Irene Papas Jacques Perrin,Francés,"Jacques Perrin, Ahmed Rachedi",Jorge Semprún Costa-Gavras,Mikis Theodorakis,Raoul Coutard,,Office National pour le Commerce et l'Industrie Cinématographique Reggane Films Valoria Films,,17300000,1
La batalla del río Neretva,Veljko Bulajić,Yugoslavia,1969,Bélico,102,"Silva Koscina, Milena Dravić Yul Brynner Franco Nero Curd Jürgens Sergei Bondarchuk Hardy Krüger Orson Welles Anthony Dawson Velimir Živojinović Boris Dvornik Ljubiša Samardžić Pavle Vuisić Lojze Rozman Stole Aranđelović Nikola Angelovski",Bosnio,Steve Previn,"Ugo Pirro, Рako Đurović, Stevan Bulajić, Veljko Bulajić, Adaptación al inglés: Alfred Hayes",Bernard Herrmann,Tomislav Pinter,,Commonwealth United,,,0
Mi noche con Maud,Eric Rohmer,Francia,1969,Drama,110,"Jean-Louis Trintignant, Françoise Fabian, Marie-Christine Barrault, Antoine Vitez, Léonide Kogan, Guy Léger, Anne Dubot, Marie Becker, Marie-Claude Rauzier",Francés,"Pierre Cottrell, Barbet Schroeder",Éric Rohmer,Jacques Maumont,Néstor Almendros,,FFD Les Films de la Pléiade Les Films des deux mondes Les Films du Carrosse Les Films du Losange Les Productions de la Guéville Renn Productions Simar Films Société Française de Production Two World Entertainment,,,0
Investigación sobre un ciudadano libre de toda sospecha,Elio Petri,Italia,1970,Drama,115,"17 personas, Gian Maria VolontéFlorinda Bolkan, Gianni Santuccio, Salvo Randone, Orazio Orlando, Arturo Dominici, Aldo Rendine, Sergio Tramonti, Vittorio Duse, Massimo Foschi, Fulvio Grimaldi, Aleka Paizi, Filippo De Gara, Gianfranco Barra, Vincenzo Falanga, Ettore Geri, Aristide Caporale",Italiano,Marina Cicogna,"Elio Petri, Ugo Pirro",Ennio Morricone,Luigi Kuveiller,,Vera Films,,,1
Erste Liebe,Maximilian Schell,Suiza,1970,Drama,90,"Maximilian Schell, Dominique Sanda, John Moulder-Brown",Inglés,"Barry Levinson, Maximilian Schell",Maximilian Schell,Mark London,Sven Nykvist,,"Alfa Film, Franz Seitz Filmproduktion",,,0
Tristana,Luis Buñuel,España,1970,Drama,99,"Catherine Deneuve, Fernando Rey, Franco Nero, Lola Gaos",Español,"Luis Buñuel, Robert Dorfmann","Luis Buñuel, Julio Alejandro",Frédéric Chopin,José F. Aguayo,Rosa García,"Época Films, Talía Films, Selenia Cinematográfica, Les Films Corona",,12686,0
El jardín de los Finzi-Contini,Vittorio de Sica,Italia,1971,Drama,94,Lino Capolicchio​  Dominique Sanda  Helmut Berger  Fabio Testi,Italiano,Arthur Brauner  Arthur Cohn  Gianni Hecht Lucari,Vittorio Bonicelli  Ugo Pirro,Bill Conti  Manuel de Sica,Ennio Guarnieri,Giancarlo Bartolini Salimbeni,,,,1
Dodesukaden,Akira Kurosawa,Japón,1971,Drama,140,"Yoshitaka Zushi, Kin Sugai, Kazuo KatôJunzaburo Ban, Kiyoko Tange",japonés,"Kon Ichikawa, Keisuke Kinoshita, Masaki Kobayashi, Akira Kurosawa, Yoichi Matsue","Akira Kurosawa, Hideo Oguni, Shinobu Hashimoto",Tôru Takemitsu,"Yasumichi Fukuzawa, Takao Saitô",Miyuki Suzuki,"Yonki-no-Kai Productions, Toho Company",,,0
Los emigrantes,Jan Troell,Suecia,1971,Drama,151,"Max von Sydow, Liv Ullmann, Eddie Axberg, Monica Zetterlund, Sven-Olof Bern, Aina Alfredsson, Allan Edwall, Pierre Lindstedt.",Sueco,Bengt Forslund,"Bengt Forslund, Jan Troell",Erik Nordgren,Jan Troell,Ulla-Britt Söderlund,"Svensk Filmindustri, Warner Bros.",,,0
El discreto encanto de la burguesía,Luis Buñuel,Francia,1972,Comedia,102,"Fernando Rey, Jean-Pierre Cassel, Paul Frankeur, Delphine Seyrig, Stéphane Audran, Bulle Ogier",Francés,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière",,Edmond Richard,Jacqueline Guyot,"Greenwich Film Productions, Dean Film, Jet Films S.A",,,1
Los amaneceres son aquí más apacibles,Stanislav Rostotski,la Unión Soviética,1972,Drama,188,"Andréi Martynov, Elena Drapeko, Ekaterina Markova, Olga Ostroumova, Irina Shevchuk, Irina Dolganova, Liudmila Zaitseva",ruso,,"Stanislav Rostotski, Boris Vasiliev",Kirill Molchanov,Vyacheslav Shumskiy,,Estudios de Cine Gorki,,,0
Mi querida señorita,Jaime de Armiñán,España,1972,Drama,80,"José Luis López Vázquez, Julieta Serrano, Antonio Ferrandis, Enrique Ávila, Lola Gaos, Chus Lampreave Verónica ForquéMónica Randall Luis Barbero",español,Luis Megino,"José Luis Borau, Jaime de Armiñán",Rafael Ferro,Luis Cuadrado,,El Imán,,,0
La nueva tierra,Jan Troell,Suecia,1972,Drama,204,"13 personas, Max von Sydow, Liv Ullmann, Eddie Axberg, Monica Zetterlund, Allan Edwall, Hans Alfredson, Pierre Lindstedt, Agneta Prytz, Halvar Björk, Peter Lindgren, Per Oscarsson, Oscar Ljung, Tom Fouts",Sueco,Bengt Forslund,"Jan Troell, Bengt Forslund","Bengt Ernryd, Nils Parling, Lars August Lundh, Georg Oddner",Jan Troell,,Svensk Filmindustri,,,0
La noche americana,François Truffaut,"Francia, Italia",1973,Drama,115,François Truffaut Jacqueline Bisset Valentina Cortese Jean-Pierre Léaud Jean-Pierre Aumont Alexandra Stewart David Markham Nathalie Baye Dani,Francés,Marcel Berbert,"François Truffaut, Jean-Louis Richard Suzanne Schiffman",Georges Delerue,Pierre-William Glenn,,"Les Films du Carrosse, PECFPIC",,,1
La invitación,Claude Goretta,Suiza,1973,Comedia,100,"Jean-Luc Bideau, François Simon, Jean Champion",Francés,Adolphe Viezzi,"Michel Viala, Claude Goretta",Patrick Moraz,Jean Zeller,,,,,0
Der Fußgänger,Maximilian Schell,Alemania,1973,Drama,98,"23 personas, Peggy Ashcroft, Elisabeth Bergner, Lil Dagover, Johanna Hofer, Gustav Rudolf Sellner, Peter Hall, Alexander May, Elsa Wagner, Gila von Weitershausen, Ruth Hausmeister, Dagmar Hirtz, Maximilian Schell, Angela Salloker, Herbert Mensching, Walter Kohut, Christian Kohlund, Walter Varndal, Sigfrit Steiner, Walter Schmidinger, Franz Seitz Jr.Christine Buchegger, Françoise Rosay, Käthe Haack",Francés,,"Maximilian Schell, Dagmar Hirtz, Franz Seitz Jr.",Mános Hatzidákis,"Wolfgang Treu, Klaus König",,,,,0
Turks fruit,Paul Verhoeven,Países Bajos,1973,Drama erótico,96,"Rutger Hauer, Monique van de Ven, Tonny Huurdeman, Wim van den Brink, Hans Boskamp",Neerlandés,Rob Houwer,Gerard Soeteman,Rogier van Otterloo,Jan de Bont,,,,,0
Amarcord,Federico Fellini,Italia,1974,Comedia,127,"Pupella Maggio, Armando Brancia, Magali Noël, Ciccio Ingrassia, Nando Orfei, Luigi Rossi, Bruno Zanin, Gianfilippo Carcano, Maria Antonietta Beluzzi",Italiano,Franco Cristaldi,Federico Fellini Tonino Guerra,Nino Rota,Giuseppe Rotunno,Danilo Donati,,,,1
Juego de gatos,Károly Makk,Hungría,1974,Drama,115,"Margit Dajka, Mari Törőcsik, Margit Makay, Samu Balázs, Tibor Szilágyi",Húngaro,,"Károly Makk, István Örkény",Péter Eötvös,János Tóth,,Hunnia Játékfilmstúdió,,,0
El diluvio,Jerzy Hoffman,Polonia,1974,cine histórico,315,Daniel Olbrychski Małgorzata Braunek Tadeusz Łomnicki Krzysztof Kowalewski,Polaco,,Jerzy Hoffman Adam Kersten Wojciech Zukrowski,Kazimierz Serocki,Jerzy Wójcik,Magdalena Tesławska,"Zespoły Filmowe, Belarusfilm, Dovzhenko Film Studios",,,0
Lacombe Lucien,Louis Malle,Francia,1974,Drama,138,"Pierre Blaise, Aurore Clément",Francés,"Louis Malle, Claude Nedjar","Louis Malle, Patrick Modiano",Django Reinhardt,Tonino Delli Colli,,"Nouvelles Éditions de Films, Paramount Pictures​Vides Cinematografica​Hallelujah Film​",,,0
La tregua,Sergio Renán,Argentina,1974,"Drama, Romántica",108,"Héctor Alterio, Luis Brandoni, Ana María Picchio, Marilina Ross, Aldo Barbero Juan José Camero, Luis Politti, Carlos Carella, Antonio Gasalla Cipe Lincovsky, Oscar Martínez, Norma Aleandro",Castellano rioplatense,"Marta Juana del Carril Aldao, Rosa Zemborain","Aída Bortnik, Sergio Renán",Julián Plaza,Juan Carlos Desanzo,Tita Tamames,Tamames-Zemborain,,,0
Dersu Uzala,Akira Kurosawa,Unión Soviética,1975,"Aventuras, Drama",144,"Maxim Munzuk, Yuri Solomin, Svetlana Danílchenko",ruso,"Yoichi Matsue, Nikolái Sizov","Vladímir Arséniev, Akira Kurosawa, Yuri Naguibin",Isaak Shvarts,"Asakazu Nakai, Yuriy Gantman, Fyodor Dobronravov",,Mosfilm,,,1
Ziemia obiecana,Andrzej Wajda,Polonia,1975,Cine histórico,179,"53 personas, Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn, Kalina Jędrusik, Bożena Dykiel, Franciszek Pieczka, Kazimierz Opaliński, Andrzej Łapicki, Zbigniew Zapasiewicz, Piotr Fronczewski, Jerzy Zelnik, Marek Walczewski, Emilia Krakowska, Wojciech Siemion, Anna Nehrebecka, Andrzej Szalawski, Stanisław Igar, Tadeusz Białoszczyński, Jerzy Nowak, Maciej Góraj, Grażyna Michalska, Włodzimierz Boruński, Danuta Wodyńska, Marian Glinka, Jadwiga Andrzejewska, Aleksander Dzwonkowski, Kazimierz Wichniarz, Zdzisław Kuźniar, Halina Gryglaszewskasin etiquetar, Lidia Korsakówna, Bernard Ladysz, Bogusław Sochnacki, Bohdana Majda, Kazimierz Kaczor, Teodor Gendera, Jerzy Przybylski, Mieczysław Waśkowski, Jan Paweł Kruk, Alicja Sobieraj, Krzysztof Majchrzak, Janina Grzegorczyk, Janina Tur-Kiryłow, Ryszard Bromowicz, Witold Dederko, Tomasz Lengren, Jerzy Braszka, Mariola Kukuła, Jerzy Stasiuk, Lena Wilczyńska, Zofia Wilczyńska, Andrzej Wohl, Teresa Budzisz-Krzyzanowska",Polaco,,"Andrzej Wajda, Władysław Reymont",Wojciech Kilar,"Witold Sobociński, Edward Kłosiński",Barbara Ptak,,,,0
Actas de Marusia,Miguel Littín,México,1975,Drama,110,"Gian María Volonté, Arturo Beristain, Diana Bracho",Español,Arturo Feliu,Miguel Littín,Mikis Theodorakis,Jorge Stahl Jr.,,Corporación Nacional Cinematográfica,,,0
Sandakan hachibanshokan bohkyo,Kei Kumai,Japón,1975,"Drama, historia, bélico",120,"Kinuyo Tanaka, Komaki Kurihara, Takiko Mizunoe, Eitaro Ozawa",japonés,Masayuki Satô - Hideyuki Shiino,Sakae Hirosawa - Kei Kumai,Akira Ifukube,Mitsuji Kanau,,Tōhō,,,0
Perfume de mujer,Dino Risi,Italia,1975,"Comedia, drama",102,"Vittorio Gassman, Alessandro Momo, Agostina Belli",Italiano,"Pio Angeletti, Adriano De Micheli","Ruggero Maccari, Dino Risi",Armando Trovaioli,Claudio Cirillo,,,,,0
La victoire en chantant,Jean-Jacques Annaud,Francia,1976,Comedia negra,90,"11 personas, Jean Carmet, Jacques Dufilho, Peter Berling, Catherine Rouvel, Jacques Spiesser, Dora Doll, Dieter Schidor, Claude Legros, Jacques Monnet, Marc Zuber, Maurice Barrier",Francés,"Jacques Perrin, Arthur Cohn",Georges Conchon,Pierre Bachelet,Claude Augostini,,"France 3 Cinéma, Reggane Films, Smart Film Produktion, Société Française de Production, Société Ivoirienne de Cinema",,,1
"Cousin, cousine",Jean-Charles Tacchella,Francia,1976,"Drama, Comedia, Romance",95,"Marie-Christine Barrault, Victor Lanoux, Marie-France Pisier",francés,Daniel Toscan du Plantier,Jean-Charles Tacchella Danièle Thompson,Gérard Anfosso,,,,400000,87000000,0
Siete bellezas,Lina Wertmüller,Italia,1976,Drama,115,"Giancarlo Giannini, Fernando Rey, Shirley Stoler, Elena Fiore",Italiano,"Arrigo Colombo, Lina Wertmüller",Lina Wertmüller,Enzo Jannacci,Tonino Delli Colli,,,,,0
Madame Rosa,Moshé Mizrahi,Francia,1977,Drama,105,"11 personas, Simone Signoret, Michal Bat-Adam, Abder El Kebir, Bernard Lajarrige, Claude Dauphin, Costa-Gavras, Gabriel Jabbour, Geneviève Fontanel, Ibrahim Seck, Mohamed Zinet, Théo Légitimus",Francés,Ralph Baum,Moshé Mizrahi,Philippe Sarde,Néstor Almendros,Jacques Fonteray,,,,1
Mivtsa Yonatan,Menahem Golan,Israel,1977,"Acción, drama, historia",124,"Yehoram Gaon, Gila Almagor, Assi Dayán, Sybil Danning, Klaus Kinski, Uzi Cohen",Inglés,"Sybil Danning, Yoram Globus, Menahem Golan","Ken Globus, Menahem Golan, Clarke Reynolds",Dov Seltzer,Adam Greenberg,Rochelle Zaltzman,,25000000,,0
Una jornada particular,Ettore Scola,"Italia, Canadá",1977,Drama,110,Marcello Mastroianni Sophia Loren John Vernon Alessandra Mussolini Françoise Berd Patrizia Basso Tiziano De Persio Maurizio Di Paolantonio Antonio Garibaldi Vittorio Guerrieri Nicole Magny,Italiano,Carlo Ponti,Maurizio Costanzo Ruggero Maccari Ettore Scola,Armando Trovaioli,Pasqualino De Santis,Enrico Sabbatini,Compagnia Cinematografica Champion Canafox,,,0
Ese oscuro objeto del deseo,Luis Buñuel,Francia,1977,Drama,104,"Fernando Rey, Carole BouquetÁngela Molina, Julien Bertheau, André Weber, María Asquerino",Francés,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière",Richard Wagner,Edmond Richard,Sylvie De Segonzac,"Greenwich Film Productions, Les Films Galaxie, In-Cine Compañía Industrial Cinematográfica",,55261,0
Magyarok,Zoltán Fábri,Hungría,1978,Drama,107,Gábor Koncz,Húngaro,,"József Balázs, Zoltán Fábri",György Vukán,György Illés,,Mafilm,,,0
"Bim, mi mejor amigo",Stanislav Rostotsky,Unión Soviética,1978,Drama,182,"Vyacheslav Tikhonov, Stiv, Dendy",Ruso,Yakov Sapozhnikov,Stanislav Rostotsky,Andréi Petrov,Vyacheslav Shumsky,Elza Rapoport,Gorky Film Studios,,,0
El tambor de hojalata,Volker Schlöndorff,"Alemania, Polonia, Francia",1979,Drama,142,"Mario Adorf, Angela Winkler, David Bennent, Daniel Olbrychski, Katharina Thalbach, Charles Aznavour","Alemán, polaco, hebreo e italiano","Franz Seitz, Anatole Dauman","Volker Schlöndorff, Jean-Claude Carrière, Franz Seitz",Maurice Jarre,Igor Luther,,Jadran Film  Franz Seitz Filmproduktion,,25000000,1
